"block_timestamp"	"reason"
"2012"	"{{anonblock}}"
"2012"	"violation of topic ban from [[Bradley Manning]] - http://en.wikipedia.org/w/index.php?title=User_talk:Sceptre&diff=499533086&oldid=499529646"
"2012"	"a Wikipedia account is to be used by only one person"
"2012"	"appears to be unauthorized bot account"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"a Wikipedia account is to be used by only one person, and is not to be used to represent an organization as a whole"
"2012"	"{{anonblock}}"
"2012"	"Genre-warring without sources (removing sourced info, removing unsourced)"
"2012"	"A Wikipedia account is not to be used to represent an organization as a whole; it can only be used by *one person*."
"2012"	"{{anonblock}}: user:UkBoxen"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"banned user"
"2012"	"{{anonblock}}"
"2012"	"{{Tor}}"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"{{webhostblock}}"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"[[WP:Arbitration enforcement|Arbitration enforcement]]: Violation of [[WP:ARBAA2]] restrictions."
"2012"	"{{anonblock}}"
"2012"	"discretionary sanctions for disrupting Indian caste articles"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	""
"2012"	"persistent bad image uploads despite warnings"
"2012"	"LTA"
"2012"	"{{anonblock}}"
"2012"	"Pretty nasty bigotry"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"persistent bad image uploads"
"2012"	"A Wikipedia account is not to be used to represent an organization as a whole; it can only be used by *one person*."
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"violation of topic ban, immediately after the ban was placed and acknowledged"
"2012"	"a wikipedia account is only to be used by one individual and is not to be used to represent an organization as a whole"
"2012"	"{{anonblock}}"
"2012"	"a Wikipedia account is to be used by only one person, and is not to be used to represent an organization as a whole"
"2012"	"{{anonblock}}"
"2012"	"{{webhostblock}}"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"a Wikipedia account is to be used by only one person, and is not to be used to represent an organization as a whole"
"2012"	"{{anonblock}}"
"2012"	""
"2012"	"{{anonblock}}"
"2012"	"a wikipedia account is only to be used by one individual and is not to be used to represent an organization as a whole"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"Misbehaving"
"2012"	"Nangparbat"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}: range used by UkBoxen"
"2012"	"Unapproved bot - unblock can be requested should an approved bot task occur"
"2012"	"{{anonblock}}"
"2012"	"Blatant violation of [[WP:INVOLVED]]"
"2012"	"{{anonblock}}"
"2012"	"a Wikipedia account is to be used by only one person, and is not to be used to represent an organization as a whole"
"2012"	"{{anonblock}}"
"2012"	"LTA"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"WP:CIR - Inability to comprehend and comply with the most basic of guidelines."
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
"2012"	"{{anonblock}}"
